@relation 'Acoustic Analysis (Time Domain)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute 'dB ' numeric
@attribute 'Zero Crossing Number' numeric
@attribute 'Standard Deviation' numeric
@attribute block numeric
@attribute 'vertical line' numeric
@attribute 'horizontal line' numeric
@attribute 'line with angles' numeric
@attribute curve numeric
@attribute oscillation numeric
@attribute 'High Freq' numeric
@attribute 'Middle Freq' numeric
@attribute 'Low Freq' {0,1}

@data
-50.596,57,7.535,0,0,0,0,1,0,0,0,1
-47.579,79,1.7338,0,0,0,0,1,0,0,0,1
-50.911,76,5.2373,0,0,0,0,1,0,0,0,1
-49.61,60,7.2672,0,0,0,0,1,0,0,0,1
-52.952,66,6.3376,0,0,0,0,1,0,0,0,1
-54.189,73,4.6128,0,0,0,0,1,0,0,0,1
-55.131,96,3.445,0,0,0,1,1,0,0,0,1
-52.752,97,2.9957,0,0,0,1,1,0,0,0,1
-54.525,80,6.1946,0,0,0,1,1,0,0,0,1
-56.817,76,4.8677,0,0,0,0,1,0,0,0,1
-55.024,68,7.2704,0,0,0,0,1,0,0,0,1
-53.819,62,8.4785,0,0,0,0,1,0,0,0,1
-53.969,48,9.103,0,0,0,0,1,0,0,0,1
-54.649,68,6.1335,0,0,0,0,1,0,0,0,1
-49.019,99,2.1743,0,0,0,0,1,0,0,0,1
-49.351,105,0.98964,0,0,0,0,1,0,0,0,1
-47.26,100,1.0535,0,1,0,0,1,0,1,0,1
-53.134,89,2.9135,0,1,0,0,1,0,1,0,0
-54.086,66,6.1477,0,1,0,0,1,0,1,0,0
-54.637,71,6.0489,0,0,0,0,1,0,0,0,0
-52.7,81,4.7597,0,0,0,0,1,0,0,0,0
-50.453,31,11.994,0,0,0,0,1,0,0,0,0
-55.216,54,8.8075,0,0,0,0,1,0,0,0,0
-56.899,58,8.1434,0,0,0,0,1,0,0,0,0
-56.182,45,9.2499,0,0,0,0,0,0,0,0,0
-57.4,61,5.9536,0,0,0,0,0,0,0,0,0
-52.811,34,10.96,0,0,0,0,0,0,0,0,0
-54.171,36,11.472,1,0,0,0,0,0,0,0,1
-53.358,35,11.322,1,0,0,0,0,0,0,0,1
-55.607,65,6.0888,1,0,0,0,0,0,0,0,1
-54.681,99,2.9792,1,0,0,0,0,0,0,0,1
-53.387,110,2.5887,1,0,0,0,0,0,0,0,1
-50.374,109,2.2571,1,0,0,0,0,0,0,0,1
-54.965,92,3.3654,1,0,0,0,0,0,0,0,1
-54.446,98,3.705,1,0,0,0,0,0,0,0,1
-55.693,61,7.5128,1,0,0,0,0,0,0,0,1
-56.463,87,4.7686,0,0,0,0,0,0,0,0,0
-54.555,91,3.1659,0,0,1,0,0,0,0,0,1
-52.647,95,3.9638,0,0,1,0,0,0,0,0,1
-55.896,63,7.3528,0,0,1,0,0,0,0,0,1
-55.51,48,9.8127,0,0,1,0,0,0,0,0,1
-54.687,49,10.137,1,0,0,0,0,0,0,0,1
-55.165,67,7.0925,1,0,0,0,0,0,0,0,1
-55.053,40,10.041,1,0,0,0,0,0,0,0,1
-53.147,37,11.495,0,1,0,0,0,0,0,1,0
-54.264,66,8.4761,0,1,0,0,0,0,0,1,0
-55.881,47,10.174,0,1,0,0,0,0,0,1,0
-52.657,23,12.775,0,1,0,0,0,0,0,1,0
-54.506,36,11.086,0,0,0,0,0,0,0,0,0
-51.606,27,11.836,0,0,0,0,0,0,0,0,0
-55.362,51,8.7373,0,0,0,0,0,0,0,0,0
-55.515,42,9.2352,0,0,0,0,0,0,0,0,0
-57.171,48,10.402,0,0,0,0,0,0,0,0,0
-54.876,47,8.8389,0,0,0,0,0,0,0,0,0
-54.297,36,11.765,0,0,0,0,0,0,0,0,0
-57.166,45,10.818,0,0,0,0,0,0,0,0,0
-53.361,33,11.705,0,0,0,0,0,0,0,0,0
-57.647,51,8.913,0,0,0,0,0,0,0,0,0
-54.925,33,10.921,0,0,0,0,0,0,0,0,0
-53.766,41,11.536,0,0,0,0,0,0,0,0,0
-57.515,46,9.1028,0,0,0,0,0,0,0,0,0
-56.824,66,7.0524,0,0,0,0,0,0,0,0,0
-55.392,45,10.103,0,0,0,1,0,0,0,0,1
-55.282,56,8.8085,0,0,0,1,0,0,0,0,1
-56.527,69,6.0651,0,0,0,1,0,0,0,0,1
-53.96,36,11.323,0,0,0,1,0,0,0,0,1
-55.63,47,8.9733,0,0,0,0,0,0,0,0,0
-56.225,50,8.6478,0,0,0,0,0,0,0,0,0
-56.553,51,8.6387,0,0,0,0,0,0,0,0,0
-58.636,59,7.7569,0,0,0,0,0,0,0,0,0
-57.012,50,7.7941,0,0,0,0,0,0,0,0,0
-54.475,43,10.173,0,1,0,0,0,0,0,1,0
-51.242,36,13.277,0,1,0,0,0,0,0,1,0
-54.906,57,9.1365,0,1,0,0,0,0,0,1,0
-52.943,47,9.7111,0,1,0,0,0,0,0,1,0
-55.583,65,7.1207,0,1,0,0,0,0,0,1,0
-54.505,49,8.1049,0,0,0,0,0,0,0,0,0
-50.778,35,11.735,0,0,0,0,0,0,0,0,0
-56.271,44,9.6836,0,0,0,0,0,0,0,0,0
-56.184,47,9.4,0,0,0,0,0,0,0,0,0
-54.61,43,10.07,0,1,0,0,0,0,1,0,1
-52.804,44,10.946,0,1,0,0,0,0,1,0,1
-54.741,89,3.7963,0,1,0,0,0,0,1,0,1
-55.994,60,7.1098,0,1,0,0,0,0,1,0,1
-53.099,50,10.535,0,1,0,0,0,0,1,0,1
-54.166,139,4.4919,0,1,0,0,0,0,1,0,1
-56.838,94,5.9649,0,1,0,0,0,0,1,0,0
-55.063,83,7.4749,0,1,0,0,0,0,1,0,0
-57.71,65,7.1504,0,1,0,0,0,0,1,0,0
-53.999,54,8.9099,0,1,0,0,0,0,1,0,0
-55.695,105,3.0884,0,1,0,0,0,0,1,0,0
-54.776,53,6.517,0,1,0,0,0,1,1,0,1
-55.528,70,6.0778,0,0,0,0,0,1,0,0,1
-50.764,105,2.5724,0,0,0,0,0,1,0,0,1
-54.241,98,2.9837,0,0,0,0,0,1,0,0,1
-55.41,76,5.105,0,0,0,0,0,1,0,0,1
-52.08,100,3.23,0,0,0,0,0,1,0,0,1
-54.864,59,7.4342,0,0,0,0,0,1,0,0,1
-51.513,81,5.0263,0,0,0,0,0,1,0,0,1
-57.193,94,3.5896,0,0,0,0,0,1,0,0,1
-52.987,85,3.8756,0,0,0,0,0,1,0,0,1
-50.303,106,1.6235,0,0,0,0,0,1,0,0,1
-54.745,81,5.5693,0,0,0,0,0,1,0,0,1
-53.994,64,7.213,0,0,0,0,0,1,0,0,1
-52.894,93,3.9452,0,0,0,0,0,1,0,0,1
-53.478,71,6.1272,0,0,0,0,0,1,0,0,1
-52.201,65,7.6434,0,0,0,0,0,1,0,0,1
-53.52,74,6.1744,0,0,0,0,0,1,0,0,1
-52.769,59,7.883,0,0,0,0,0,1,0,0,1
-52.046,59,7.9605,0,0,0,0,0,1,0,0,1
-47.458,103,2.1294,0,0,0,0,0,1,0,0,1
-53.807,92,3.4515,0,0,0,0,0,1,0,0,1
-54.017,71,6.9091,0,0,0,0,0,1,0,0,1
-53.821,56,8.5675,0,0,0,0,0,1,0,0,1
-54.503,79,5.3337,0,0,0,0,0,1,0,0,1
-55.849,73,5.7232,0,0,0,0,0,1,0,0,1
-54.122,57,8.2966,0,0,0,0,0,1,0,0,1
-50.816,82,5.317,0,0,0,0,0,1,0,0,1
-56.35,79,5.6491,0,0,0,0,0,1,0,0,1
-53.071,89,4.1306,0,0,0,0,0,1,0,0,1
-50.134,98,3.6373,0,0,0,0,0,1,0,0,1
-54.017,82,5.0305,0,0,0,0,0,1,0,0,1
-52.625,98,2.3458,0,1,0,0,0,1,0,1,1
-49.837,78,6.535,0,1,0,0,0,1,0,1,1
-51.73,51,9.3996,0,1,0,0,0,1,0,1,1
-53.096,52,8.3672,0,1,0,0,0,1,0,1,1
-55.744,65,7.8228,0,1,0,0,0,1,1,0,1
-55.968,74,5.9533,0,1,0,0,0,1,1,0,1
-55.156,76,6.1153,0,1,0,0,0,1,1,0,1
-55.675,82,4.3161,0,0,0,0,0,1,0,0,1
-55.318,49,8.1038,0,0,0,0,0,1,0,0,1
-53.293,41,11.076,0,0,0,0,0,0,0,0,0
-55.135,53,8.9966,0,0,0,0,0,0,0,0,0
-51.819,57,8.5962,0,0,0,0,0,0,0,0,0
-53.167,56,8.9558,0,0,0,0,0,0,0,0,0
-53.665,50,9.167,0,0,0,0,0,0,0,0,0
-54.242,33,10.568,0,0,0,0,0,0,0,0,0
-54.976,46,8.6013,0,0,0,0,0,0,0,0,0
-51.299,27,12.826,0,0,0,0,0,0,0,0,0
-54.138,39,10.469,0,0,0,0,0,0,0,0,0
-57.319,49,7.7902,0,0,0,0,0,0,0,0,0
-57.775,65,5.8622,0,0,0,0,0,0,0,0,0
-55.435,52,8.0933,0,0,0,0,0,0,0,0,0
-52.526,26,12.932,0,0,0,0,0,0,0,0,0
-54.893,35,12.2,0,0,0,0,0,0,0,0,0
-56.878,51,8.4158,0,0,0,0,0,0,0,0,0
-54.339,35,11.098,0,0,0,0,0,0,0,0,0
-57.908,58,6.943,0,0,0,0,0,0,0,0,0
-57.372,65,7.2589,0,0,0,0,0,0,0,0,0
-54.537,39,11.559,0,0,0,0,0,0,0,0,0
-56.225,49,8.919,0,0,0,0,0,0,0,0,0
-55.256,44,10.429,0,0,0,0,0,0,0,0,0
-56.641,55,8.2681,0,0,0,0,0,0,0,0,0
-53.281,43,10.238,0,0,0,0,0,0,0,0,0
-52.289,29,10.632,0,0,0,0,0,0,0,0,0
-53.955,46,9.5133,0,0,0,0,0,0,0,0,0
-51.405,22,12.519,0,0,0,0,0,0,0,0,0
-56.107,54,9.6155,0,0,0,0,0,0,0,0,0
-55.743,46,9.6927,0,0,0,0,0,0,0,0,0
