Frame Number,Start Sample No.,End Sample No.,dB ,Zero Crossing Number,Standard Deviation,block,vertical line,horizontal line,line with angles,curve,oscillation,High Freq,Middle Freq,Low Freq
125,63489,64000,-57.916,47,7.9394,1,0,0,0,0,0,0,0,1
126,64001,64512,-52.343,34,12.338,1,0,0,0,0,0,0,0,1
127,64513,65024,-56.231,36,11.028,1,0,0,0,0,0,0,0,1
128,65025,65536,-56.994,51,9.0589,1,0,0,0,0,0,0,0,1
129,65537,66048,-53.947,30,11.576,0,0,0,0,0,0,0,0,0
130,66049,66560,-59.65,70,5.916,0,0,0,0,0,0,0,0,0
131,66561,67072,-57.628,56,7.7169,0,0,0,0,0,0,0,0,0
132,67073,67584,-56.51,45,8.4965,0,0,0,0,0,0,0,0,0
133,67585,68096,-55.65,37,11.911,0,0,0,0,0,0,0,0,0
134,68097,68608,-58.311,56,5.7948,1,0,0,0,0,0,0,0,1
135,68609,69120,-56.574,53,8.8903,1,0,0,0,0,0,0,0,1
136,69121,69632,-58.173,74,6.6926,1,0,0,0,0,0,0,0,1
137,69633,70144,-54.232,42,10.282,1,0,0,0,0,0,0,0,1
138,70145,70656,-51.763,25,12.377,0,0,0,0,0,0,0,0,0
139,70657,71168,-51.5,28,12.671,0,0,0,0,0,0,0,0,0
140,71169,71680,-54.246,32,10.844,0,0,0,0,0,0,0,0,0
141,71681,72192,-57.119,45,8.9974,0,0,0,0,0,0,0,0,0
142,72193,72704,-57.336,48,8.4725,0,0,0,0,0,0,0,0,0
143,72705,73216,-53.25,30,11.663,0,0,0,0,0,0,0,0,0
144,73217,73728,-52.512,30,13.137,1,0,0,0,0,0,0,0,1
145,73729,74240,-55.879,47,10.286,1,0,0,0,0,0,0,0,1
146,74241,74752,-54.492,31,13.682,1,0,0,0,0,0,0,0,1
147,74753,75264,-57.996,50,9.1833,0,0,0,0,0,0,0,0,0
148,75265,75776,-54.293,40,11.283,0,0,0,0,0,0,0,0,0
149,75777,76288,-57.781,48,7.0118,0,0,0,0,0,0,0,0,0
150,76289,76800,-54.661,40,11.65,0,0,0,0,0,0,0,0,0
151,76801,77312,-56.649,50,7.7573,0,0,0,0,0,0,0,0,0
152,77313,77824,-54.375,33,10.599,0,0,0,0,0,0,0,0,0
153,77825,78336,-54.019,26,13.276,0,1,0,0,0,0,1,0,0
154,78337,78848,-59.523,65,6.5829,1,1,0,0,0,0,1,0,1
155,78849,79360,-59.246,73,6.238,1,1,0,0,0,0,1,0,1
156,79361,79872,-58.036,54,8.1049,1,0,0,0,0,0,0,0,1
157,79873,80384,-56.905,52,8.748,0,0,0,0,0,0,0,0,0
158,80385,80896,-57.764,55,8.4486,0,0,0,0,0,0,0,0,0
159,80897,81408,-55.403,42,10.55,0,0,0,0,0,0,0,0,0
160,81409,81920,-57.82,48,8.9174,0,0,0,0,0,0,0,0,0
161,81921,82432,-55.046,42,10.319,0,0,0,0,0,0,0,0,0
162,82433,82944,-56.65,42,9.9991,0,0,0,0,0,0,0,0,0
163,82945,83456,-55.216,45,9.5695,0,0,0,0,0,0,0,0,0
164,83457,83968,-55.488,43,11.893,1,0,0,0,0,0,0,0,1
165,83969,84480,-57.582,56,6.4786,1,0,0,0,0,0,0,0,1
166,84481,84992,-58.827,58,7.0169,1,0,0,0,0,0,0,0,1
167,84993,85504,-56.467,62,6.9401,0,0,1,0,0,0,0,0,1
168,85505,86016,-53.108,55,4.8844,0,0,1,0,0,0,0,0,1
169,86017,86528,-52.352,50,5.0111,0,0,1,0,0,0,0,0,1
170,86529,87040,-49.89,55,2.8209,0,0,1,0,0,0,0,0,1
171,87041,87552,-51.996,57,4.1567,0,0,1,0,0,0,0,0,1
172,87553,88064,-54.658,40,10.66,0,0,1,0,0,0,0,0,1
173,88065,88576,-56.601,51,8.2057,0,0,1,0,0,0,0,0,1
174,88577,89088,-55.66,43,11.088,1,0,0,0,0,0,0,0,1
175,89089,89600,-56.255,55,7.6436,1,0,0,0,0,0,0,0,1
176,89601,90112,-50.77,21,10.454,1,0,0,0,0,0,0,0,1
177,90113,90624,-58.204,53,6.9929,0,0,0,0,0,0,0,0,0
178,90625,91136,-54.797,46,10.299,0,0,0,0,0,0,0,0,0
179,91137,91648,-58.794,51,9.4295,0,0,0,0,0,0,0,0,0
180,91649,92160,-54.642,36,12.47,0,0,0,0,0,0,0,0,0
181,92161,92672,-57.023,48,9.0704,0,0,0,0,0,0,0,0,0
182,92673,93184,-57.76,55,7.4811,0,0,0,0,0,0,0,0,0
183,93185,93696,-56.903,40,9.5654,0,0,0,0,0,0,0,0,0
184,93697,94208,-54.817,31,12.073,0,0,0,0,0,0,0,0,0
185,94209,94720,-54.811,43,10.912,1,0,1,0,0,0,0,0,1
186,94721,95232,-55.272,52,9.3103,1,0,1,0,0,0,0,0,1
187,95233,95744,-51.674,49,6.9809,1,0,1,0,0,0,0,0,1
188,95745,96256,-48.898,55,2.5415,0,0,1,0,0,0,0,0,1
189,96257,96768,-47.27,54,1.7367,0,0,1,0,0,0,0,0,1
190,96769,97280,-46.022,54,1.2071,0,0,1,0,0,0,0,0,1
191,97281,97792,-51.705,53,5.1161,0,0,1,0,0,0,0,0,1
192,97793,98304,-56.915,56,5.8046,0,0,1,0,0,0,0,0,1
193,98305,98816,-54.234,36,9.0393,0,0,1,0,0,0,0,0,1
194,98817,99328,-58.571,53,7.9035,0,0,0,0,0,0,0,0,0
195,99329,99840,-56.134,40,9.5261,1,0,0,0,0,0,0,0,1
196,99841,100352,-55.431,45,10.328,1,0,0,0,0,0,0,0,1
197,100353,100864,-55.585,46,9.3394,1,0,0,0,0,0,0,0,1
198,100865,101376,-52.549,27,10.698,0,0,0,0,0,0,0,0,0
199,101377,101888,-56.864,43,9.4236,0,0,0,0,0,0,0,0,0
200,101889,102400,-58.587,55,9.0338,0,0,0,0,0,0,0,0,0
201,102401,102912,-58.49,58,8.0643,0,0,0,0,0,0,0,0,0
202,102913,103424,-58.29,60,8.2022,0,0,1,0,0,0,0,0,1
203,103425,103936,-56,52,8.525,0,0,1,0,0,0,0,0,1
204,103937,104448,-49.204,50,4.4643,0,0,1,0,0,0,0,0,1
205,104449,104960,-46.26,56,1.3419,0,0,1,0,0,0,0,0,1
206,104961,105472,-43.059,56,1.1538,0,0,1,0,0,0,0,0,1
207,105473,105984,-41.414,57,0.76908,0,0,1,0,0,0,0,0,1
208,105985,106496,-39.461,56,0.54832,1,1,1,0,0,0,1,0,1
209,106497,107008,-40.319,56,0.95278,1,1,1,0,0,0,1,0,1
210,107009,107520,-42.58,55,1.1784,1,1,1,0,0,0,1,0,1
211,107521,108032,-47.381,54,1.7385,0,0,1,0,0,0,0,0,1
212,108033,108544,-54.615,52,5.1344,0,0,1,0,0,0,0,0,1
213,108545,109056,-53.138,35,10.726,0,0,1,0,0,0,0,0,1
214,109057,109568,-53.587,44,8.7798,0,0,1,0,0,0,0,0,1
215,109569,110080,-51.018,27,12.602,0,0,1,0,0,0,0,0,1
216,110081,110592,-56.239,51,6.2039,1,0,1,0,0,0,0,0,1
217,110593,111104,-50.907,68,4.2126,1,0,1,0,0,0,0,0,1
218,111105,111616,-50.311,45,4.864,1,0,1,0,0,0,0,0,1
