@relation 'Acoustic Analysis (Time Domain)-weka.filters.unsupervised.attribute.Remove-R1-3,13-15-weka.filters.unsupervised.attribute.Remove-R2-3'

@attribute 'dB ' numeric
@attribute block numeric
@attribute 'vertical line' numeric
@attribute 'horizontal line' numeric
@attribute 'line with angles' numeric
@attribute curve numeric
@attribute oscillation numeric

@data
-53.138,0,0,0,0,0,1
-55.005,0,0,0,0,0,1
-51.784,0,0,0,0,0,1
-54.211,0,0,0,0,0,1
-55.073,0,0,0,0,0,1
-56.041,0,0,0,0,0,1
-55.76,0,0,0,0,0,1
-56.579,0,0,0,0,0,1
-53.764,0,0,0,0,0,1
-54.045,0,0,0,0,0,1
-55.079,0,0,0,0,0,1
-55.711,0,0,0,0,0,1
-56.387,0,0,0,0,0,1
-55.483,0,0,0,0,0,1
-55.039,0,0,0,0,0,1
-55.959,0,0,0,0,0,1
-55.919,0,0,0,0,0,1
-54.124,0,0,0,0,0,1
-56.209,0,0,0,0,0,1
-58.122,0,1,0,0,0,1
-56.248,0,1,0,0,0,0
-58.178,0,1,0,0,0,0
-58.002,0,1,0,0,0,0
-58.112,0,0,0,0,0,0
-58.833,0,0,0,0,0,0
-54.816,0,0,0,0,0,0
-56.703,0,0,0,0,0,0
-57.353,0,0,0,0,0,0
-56.172,0,0,0,0,0,0
-56.885,0,0,0,0,0,0
-59.41,0,0,0,0,0,0
-57.025,0,0,0,0,0,0
-57.892,0,0,0,0,0,0
-58.718,0,0,0,0,0,0
-59.382,0,0,0,0,0,0
-57.967,0,0,0,0,0,0
-56.33,0,0,0,0,0,0
-57.838,0,0,0,0,0,0
-56.185,0,0,0,0,0,0
-56.362,0,0,0,0,0,0
-57.886,0,0,0,0,0,0
-55.339,0,0,0,0,0,0
-56.442,0,0,0,0,0,0
-54.008,0,0,0,0,0,0
-56.535,0,0,0,0,0,0
-55.85,0,0,0,0,0,0
-55.647,0,0,0,0,0,0
-58.035,0,0,0,0,0,0
-57.534,0,0,0,0,0,0
-55.307,0,0,0,0,0,0
-56.434,0,0,0,0,0,0
-55.78,0,0,0,0,0,0
-59.379,0,0,0,0,0,0
-55.888,0,0,0,0,0,0
