CallId	AudioReadingID	Hits	PeriodicHits	BestCallScore	BestScoreLocation
2	07CFED37-14E9-4997-BE0E-270EDF82BE2E	8	0	0	0
2	C6443F7E-E93B-4517-8AAB-2B69751D9C45	16	3	4	16421
2	6B67F622-E57C-4E4A-8771-3CF411B82427	38	4	2	11517
2	15E1B7A3-C895-447C-93B8-3DEC7D905B5B	19	5	6	13931
2	9A42F21B-D76C-4BB2-BAF6-41A46EB6168A	28	10	9	26897
2	285428EF-200D-42F2-BC41-41E09067D90F	7	0	0	0
2	70654D4F-6FB9-4CE9-AB0C-445268DE7696	30	10	10	19690
2	92122310-702A-43ED-853D-44FB422498D0	7	0	0	0
2	CAEA87B6-5523-46EA-AAAF-46A1181DEC82	33	8	10	20767
2	DD51DF9F-DDCF-4E2B-8DCD-47E5911D9952	29	5	10	20507
2	B7323404-4CA7-4CF7-A0B1-47EF338077A9	21	3	6	2823
2	09CE366E-CD46-46BB-8672-481A3BEDE73A	28	3	4	12371
2	3FB8FD88-D2E8-47D8-9C28-4CC294EE780F	11	1	2	27269
2	0FA0EA1A-F3A8-41C5-A865-4D3D136D5051	30	5	6	17275
2	D1302676-9BED-4775-8F87-4E625B0C88CC	10	0	0	0
2	652A997C-6732-4194-AEA1-4F1870ED6600	6	0	0	0
2	389D1A64-3841-4033-A07C-5798092EB8B1	24	3	4	13077
2	FFA99C2E-9309-4368-86C5-6013CB71A25E	15	2	2	21065
2	5AC92BD4-36D8-4152-9235-6405386C8B4B	6	0	0	0
2	7460779D-FCA7-49AE-9A9E-6532189F951D	42	6	6	3789
2	E4225702-CCA4-45FA-A322-675B1E596515	44	7	4	2712
2	F1EF8B3F-AA3F-4612-A7C1-67B4FFDEC170	8	1	2	4421
2	E5DB213E-E009-4AC7-B06F-67C5F5AB6A8E	25	2	2	24037
2	CEAF3A26-FAA6-4FF2-9415-6F3B9DAC26EC	5	1	2	21399
2	15E2CD15-2726-4DAB-8551-715BBA96C24C	35	7	5	12371
2	B5951540-6084-47C3-A563-78C5BB7F1F76	17	1	2	8544
2	8E498F3A-23B2-400D-B38C-7F4DF306BED8	7	0	0	0
2	634F0AF7-6CA4-49F4-A407-7F614C45AA7F	40	2	2	22922
2	01F64BFD-FEE1-427D-90A6-8ED4B54EAD04	40	12	10	16198
2	F6B08BAD-84E9-4BEA-A19B-8F1BAE8E869D	23	2	4	17795
2	A8AA465C-7A56-47A5-AAAF-90E2F1C09197	25	4	6	2823
2	A03F797A-E050-4AF2-AB05-9A5E05CB2296	9	0	0	0
2	8596C059-3D39-4A7E-B0B4-9A73679ED81A	37	5	6	14006
2	F5EB06B2-F708-4EA2-A4BC-9BF11BCC9233	8	1	2	20433
2	D0328951-30C2-4E73-A575-A16B6134CF7F	44	7	8	11108
2	39C7C44E-6714-4B0A-9931-AB9CCEFC4CE3	32	3	4	17498
2	7363F1E2-1F07-44B3-B173-AD0F96C5D60F	1	0	0	0
2	D441698C-39BF-4A7F-B90B-B5A1C160E2AC	32	4	6	9362
2	8B6DBA6B-0182-4D71-9845-BB02B127BFE3	12	0	0	0
2	0FB8E2AF-A802-41B0-BEED-BC527CB2130F	27	4	4	3678
2	F2BE9BE7-C772-4CC4-9282-C13CA4E14F72	7	0	0	0
2	F70720C3-EBDA-4255-9B46-C1F28D1360D6	18	2	2	3009
2	199927E0-7C87-46FF-9538-C5CE6E043ECE	39	7	6	10031
2	BFCE5960-F11A-4E0D-869A-C644AF6B5214	11	1	2	23925
2	CE97E18C-1B26-48A0-8F22-C6F67B03AF82	21	3	6	5349
2	318EF242-8318-4361-82A0-C99FB3449367	13	2	2	9436
2	22C3FC80-A9A3-46C7-BFC7-CC4B58FF31F0	42	9	10	27232
2	C4EB385B-4D73-4A25-9DCB-CD6EB6B07C54	37	14	18	20322
2	96A44D2B-80C9-4D73-9A02-CD945085AE98	30	5	4	11442
2	9EE5A51E-3174-4DD4-AD77-CDBEF68A86DB	35	7	10	7318
2	DEB1E2F1-B4DE-4232-885E-D0CD941FBDD9	28	3	4	3789
2	CE187A93-C2E4-43F6-8518-D0E6A6D2E12C	5	1	2	19393
2	6039DC4D-A611-49BE-9860-D11EE513E5B0	32	5	6	15306
